Risk,Title,URL,Tags,Access,Author,Local,Remote,CVE,CWE
Low,Joomla Solidres 2.13.3 - Reflected XSS,https://cxsecurity.com/issue/WLB-2023070080,"CWE, CraCkEr",Remote,,No,Yes,N/A,CWE-79
Medium,"MiniTool Partition Wizard ShadowMaker v.12.7 Unquoted Service Path ""MTSchedulerService""",https://cxsecurity.com/issue/WLB-2023070079,"CVE, Idan Malihi",Remote,Idan Malihi,No,Yes,CVE-2023-36165,N/A
Medium,TP-Link TL-WR740N Authenticated Directory Transversal,https://cxsecurity.com/issue/WLB-2023070078,Anish Feroz,Remote,Anish Feroz,No,Yes,N/A,N/A
Low,WinterCMS < 1.2.3 Persistent Cross-Site Scripting,https://cxsecurity.com/issue/WLB-2023070077,"CVE, abhishek morla",Remote,abhishek morla,No,Yes,CVE-2023-37269,CWE-79
Low,Joomla iProperty Real Estate 4.1.1 - Reflected XSS,https://cxsecurity.com/issue/WLB-2023070076,"CWE, CraCkEr",Remote,,No,Yes,N/A,CWE-79
Low,Joomla VirtueMart Shopping-Cart 4.0.12 - Reflected XSS,https://cxsecurity.com/issue/WLB-2023070075,"CWE, CraCkEr",Remote,,No,Yes,N/A,CWE-79
High,WordPress File Manager Advanced Shortcode 2.3.2 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070074,h00die-gr3y,Remote,h00die-gr3y,No,Yes,N/A,N/A
Low,WordPress PrePost SEO 3.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070073,"CVE, CWE, Taurus Omar",Remote,Taurus Omar,No,Yes,CVE-2023-2029,CWE-79
Low,WordPress Tablesome Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070072,"CVE, CWE, Taurus Omar",Remote,Taurus Omar,No,Yes,CVE-2023-1890,CWE-79
Low,WordPress Login Configurator 2.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070071,"CVE, CWE, Taurus Omar",Remote,Taurus Omar,No,Yes,CVE-2023-1893,CWE-79
Low,Polaris Web 1.21.1 - Reflected XSS,https://cxsecurity.com/issue/WLB-2023070070,Mahdi eidi,Remote,,No,Yes,N/A,N/A
Low,mooDating 1.2 - Reflected XSS,https://cxsecurity.com/issue/WLB-2023070069,"CVE, CraCkEr",Remote,,No,Yes,CVE-2023-3844,CWE-79
Low,ETSI WEBstore 2023 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070068,"CWE, Vulnerability Laborato...",Remote,Vulnerability Laboratory,No,Yes,N/A,CWE-79
High,VMWare Aria Operations For Networks Remote Command Execution,https://cxsecurity.com/issue/WLB-2023070067,"CVE, CWE, h00die",Remote,h00die,No,Yes,CVE-2023-20887,CWE-78
Low,PullAndBear Reflected XSS Vulnerability,https://cxsecurity.com/issue/WLB-2023070066,BQX,Remote,,Yes,Yes,N/A,N/A
Low,mooDating 1.2 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070065,"CVE, CWE, CraCkEr",Remote,CraCkEr,No,Yes,CVE-2023-3846 | CVE-2023-3844,CWE-79
Medium,Omnis Studio 10.22.00 Library Unlock,https://cxsecurity.com/issue/WLB-2023070064,"CVE, CWE, Matthias Deeg",Remote,Matthias Deeg,No,Yes,CVE-2023-38334,CWE-440
High,Perch 3.2 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070063,Mirabbas Agalarov,Remote,Mirabbas Agalarov,No,Yes,N/A,N/A
Low,WordPress SEO Alert 1.59 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070062,"CVE, CWE, Taurus Omar",Remote,Taurus Omar,No,Yes,CVE-2023-2225,CWE-79
Low,Joomla VirtueMart Shopping-Cart 4.0.12 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070061,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,Google Chrome 115.0.5790.102 Memory Corruption,https://cxsecurity.com/issue/WLB-2023070060,Jean Pereira,Remote,Jean Pereira,No,Yes,N/A,N/A
Low,Joomla HikaShop 4.7.4 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070059,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Medium,Cyberxel - Bypass Admin Panel,https://cxsecurity.com/issue/WLB-2023070058,behrouz mansoori,Remote,,No,Yes,N/A,N/A
High,OpenSSH Forwarded SSH-Agent Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070057,"CVE, Qualys Security Adviso...",Remote,Qualys Security Advisory,No,Yes,CVE-2023-38408 | CVE-2016-10009 | CVE-2010-3856,N/A
Medium,ErenSoft SQL Injection,https://cxsecurity.com/issue/WLB-2023070056,EFETR,Remote,,No,Yes,N/A,N/A
Med.,ErenSoft SQL Injection,https://cxsecurity.com/issue/WLB-2023070055,EFETR,Remote,,,,,
Med.,CVE-2023-36339 WebBoss.io CMS IDOR,https://cxsecurity.com/issue/WLB-2023070054,"CVE, CWE, Steven n0tst3 Black",Remote,,,,,
Low,Perch v3.2 Stored XSS,https://cxsecurity.com/issue/WLB-2023070053,"CWE, Mirabbas Ağalarov",Remote,,,,,
Med.,ABB FlowX v4.00 Exposure of Sensitive Information,https://cxsecurity.com/issue/WLB-2023070052,"CVE, Paul Smith",Remote,,,,,
Med.,Hikvision Hybrid SAN Ds-a71024 SQL Injection,https://cxsecurity.com/issue/WLB-2023070051,"CVE, CWE, Thurein Soe",Remote,,,,,
High,Blackcat CMS 1.4 Shell Upload,https://cxsecurity.com/issue/WLB-2023070050,"CWE, Mirabbas Agalarov",Remote,,,,,
Med.,TP-Link TL-WR740N Directory Traversal,https://cxsecurity.com/issue/WLB-2023070049,"CWE, Anish Feroz",Remote,,,,,
High,Pluck 4.7.18 Remote Shell Upload,https://cxsecurity.com/issue/WLB-2023070048,"CWE, nu11secur1ty",Remote,,,,,
Low,ProjeQtOr Project Management System v10.4.1 Multiple XSS,https://cxsecurity.com/issue/WLB-2023070047,"CWE, Mirabbas Ağalarov",Remote,,,,,
Med.,CMSUno 1.6 - Cross-Site Request Forgery (Change Admin Password),https://cxsecurity.com/issue/WLB-2023090053,"CVE, G666h05t",Remote,,,,,
Low,Chrome Read-Only Property Overwrite,https://cxsecurity.com/issue/WLB-2023090047,"CVE, Google Security Resear...",Remote,,,,,
Medium,ITAcumens - Sql Injection Vulnerability,https://cxsecurity.com/issue/WLB-2023090043,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Conception & Réalisation MGSD - Sql Injection,https://cxsecurity.com/issue/WLB-2023090042,behrouz mansoori,Remote,,No,Yes,N/A,N/A
High,VMware vRealize Log Insight Unauthenticated Remote Code Execution,https://cxsecurity.com/issue/WLB-2023090041,Ege Balci,Remote,Ege Balci,No,Yes,N/A,N/A
High,OpenPLC Webserver 3 Denial Of Service / Buffer Overflow,https://cxsecurity.com/issue/WLB-2023090040,"CWE, Kai Feng",Remote,Kai Feng,No,Yes,N/A,CWE-119
High,Soosyze 2.0.0 Arbitrary File Upload,https://cxsecurity.com/issue/WLB-2023090023,"CWE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,N/A,CWE-264
Low,Jorani 1.0.3 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023080094,"CWE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,N/A,CWE-79
Medium,AudioCodes VoIP Phones Insufficient Firmware Validation,https://cxsecurity.com/issue/WLB-2023080072,"CVE, CWE, Matthias Deeg",Remote,Matthias Deeg,No,Yes,CVE-2023-22955,CWE-1326
Medium,Faculty Evaluation System v1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2023070046,"CWE, Andrey Stoykov",Remote,Andrey Stoykov,No,Yes,N/A,CWE-89
High,Foody Friend 1.0 Arbitrary File Upload / Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070045,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,"CWE-79
High,RaidenFTPD 2.4.4005 Buffer Overflow,https://cxsecurity.com/issue/WLB-2023070044,"CWE, Andre Nogueira",Remote,Andre Nogueira,No,Yes,N/A,CWE-119
Medium,Wifi Soft Unibox Administration 3.0 / 3.1 SQL Injection,https://cxsecurity.com/issue/WLB-2023070043,"CVE, CWE, Ansh Jain",Remote,Ansh Jain,No,Yes,CVE-2023-34635,CWE-89
Medium,CMS SAUDI SOFTECH 5.0.2 SQL Injection,https://cxsecurity.com/issue/WLB-2023070042,"CWE, indoushka",Remote,indoushka,No,Yes,N/A,CWE-89
High,Listplace Directory Listing Platform 3.0 File Upload / Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070041,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,"CWE-79
Medium,Aures Booking And POS Terminal Local Privilege Escalation,https://cxsecurity.com/issue/WLB-2023070040,"CWE, Vulnerability Laborato...",Local,Vulnerability Laboratory,Yes,No,N/A,CWE-264
Low,Tiva Events Calender 1.4 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070039,"CWE, Vulnerability Laborato...",Remote,Vulnerability Laboratory,No,Yes,N/A,CWE-79
High,Microsoft Office 365 18.2305.1222.0 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070038,"CVE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,CVE-2023-33148,N/A
High,Hikvision Hybrid SAN Ds-a71024 Firmware Multiple Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070037,"CVE, Thurein Soe",Remote,Thurein Soe,No,Yes,CVE-2022-28171,N/A
Low,Vacation Rental 1.8 Stored Cross-Site Scripting (XSS),https://cxsecurity.com/issue/WLB-2023070036,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Low,Montage 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070035,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Low,Wedding Wonders 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070034,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Medium,Admidio 4.2.10 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070033,Mirabbas Agalarov,Remote,Mirabbas Agalarov,No,Yes,N/A,N/A
High,pfSense Restore RRD Data Command Injection,https://cxsecurity.com/issue/WLB-2023070032,"CWE, Emir Polat",Remote,Emir Polat,No,Yes,N/A,CWE-78
High,Pluck v4.7.18 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2023070031,Mirabbas Ağalarov,Remote,Mirabbas Ağalarov,No,Yes,N/A,N/A
High,Spring Cloud 3.2.2 Remote Command Execution (RCE),https://cxsecurity.com/issue/WLB-2023070030,"CVE, CWE, GatoGamer1155, 0bfxgh0...",Remote,"GatoGamer1155, 0bfxgh0st",No,Yes,CVE-2022-22963,CWE-78
Low,Ateme TITAN File 3.9 Job Callbacks Server-Side Request Forgery,https://cxsecurity.com/issue/WLB-2023070029,LiquidWorm,Remote,LiquidWorm,No,Yes,N/A,N/A
High,WordPress User Registration 3.0.2 Arbitrary File Upload,https://cxsecurity.com/issue/WLB-2023070028,"CVE, CWE, Lana Codes",Remote,Lana Codes,No,Yes,CVE-2023-3342,CWE-264
Low,Ekushey Project Manager CRM 5.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070027,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,Frappe Framework 13.4.0 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070026,Sander Ferdinand,Remote,Sander Ferdinand,No,Yes,N/A,N/A
High,Bludit < 3.13.1 Backup Plugin Arbitrary File Download (Authenticated),https://cxsecurity.com/issue/WLB-2023070025,"CWE, Antonio Cuomo (arkanto...",Remote,Antonio Cuomo (arkantolo),No,Yes,N/A,CWE-200
High,Gila CMS 1.10.9 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023070024,Omer Shaik,Remote,Omer Shaik,No,Yes,N/A,N/A
High,DaillyTools Remote Command Execution,https://cxsecurity.com/issue/WLB-2023070023,"CWE, indoushka",Remote,indoushka,No,Yes,N/A,CWE-78
Low,BuildaGate5library - Reflected Cross-Site Scripting (XSS),https://cxsecurity.com/issue/WLB-2023070022,"CVE, CWE, Idan Malihi",Remote,Idan Malihi,No,Yes,CVE-2023-36163,CWE-79: Improper Neutralization of Input During Web Page Generation (&#039;Cross-site Scripting&#039;)
Medium,"Game Jackal Server v5 - Unquoted Service Path ""GJServiceV5""",https://cxsecurity.com/issue/WLB-2023070021,"CVE, CWE, Idan Malihi",Local,Idan Malihi,Yes,No,CVE-2023-36166,CWE-428: Unquoted Service Path
Low,WebsiteBaker v2.13.3 Stored XSS,https://cxsecurity.com/issue/WLB-2023070020,"CWE, Mirabbas Ağalarov",Remote,Mirabbas Ağalarov,No,Yes,N/A,CWE-79
Low,Sales of Cashier Goods v1.0 Cross Site Scripting (XSS),https://cxsecurity.com/issue/WLB-2023070019,"CVE, CWE, Amirhossein Bahramizad...",Remote,,,,,
Med.,D-Link DAP-1325 Insecure Direct Object Reference,https://cxsecurity.com/issue/WLB-2023070018,ieduardogoncalves,Remote,,,,,
Med.,D-Link DAP-1325 Broken Access Control,https://cxsecurity.com/issue/WLB-2023070017,ieduardogoncalves,Remote,,,,,
Low,Piwigo v13.7.0 Stored Cross-Site Scripting (XSS) (Authenticated),https://cxsecurity.com/issue/WLB-2023070016,"CWE, Okan Kurtulus",Remote,,,,,
Med.,Groomify v1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2023070015,"CWE, Ahmet Ümit BAYRAM",Remote,,,,,
Med.,WordPress WP AutoComplete Search 1.0.4 SQL Injection,https://cxsecurity.com/issue/WLB-2023070014,"CVE, CWE, Matin Nouriyan",Remote,,,,,
Med.,Citrix Gateway And Cloud MFA Insufficient Session Validation,https://cxsecurity.com/issue/WLB-2023070013,Vulnerability Laborato...,Remote,,,,,
High,POS Codekop 2.0 Shell Upload,https://cxsecurity.com/issue/WLB-2023070012,"CVE, CWE, yuyudhn",Remote,,,,,
High,TP-Link TL-WR940N 4 Buffer Overflow,https://cxsecurity.com/issue/WLB-2023070011,"CVE, CWE, Amirhossein Bahramizad...",Remote,,,,,
Low,Microsoft OneNote (Version 2305 Build 16.0.16501.20074) 64-bit Spoofing,https://cxsecurity.com/issue/WLB-2023070010,"CVE, nu11secur1ty",Remote,,,,,
Med.,Beauty Salon Management System 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2023070009,"CWE, Fatih Nacar",Remote,,,,,
High,Microsoft 365 MSO (Version 2305 Build 16.0.16501.20074) 32-bit Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2023070008,"CVE, nu11secur1ty",Remote,,,,,
Low,Super Socializer 7.13.52 Reflected XSS,https://cxsecurity.com/issue/WLB-2023070007,"CVE, CWE, Amirhossein Bahramizad...",Remote,,,,,
Low,NCH Express Invoice Clear Text Password Storage and Account Takeover,https://cxsecurity.com/issue/WLB-2023070006,"CVE, Tejas Nitin Pingulkar",Remote,,,,,
Med.,POS Codekop v2.0 Authenticated Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2023070005,"CVE, yuyudhn",Remote,,,,,
Low,WBCE CMS 1.6.1 Open Redirect & CSRF,https://cxsecurity.com/issue/WLB-2023070004,"CWE, Mirabbas Ağalarov",Remote,,,,,
Low,Inout Search Engine AI Edition 1.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070003,"CWE, CraCkEr",Remote,,,,,
Med.,WordPress Social Login And Register 7.6.4 Authentication Bypass,https://cxsecurity.com/issue/WLB-2023070002,"CVE, Lana Codes",Remote,,,,,
Low,Car Listing Script 1.8 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023070001,"CWE, CraCkEr",Remote,,,,,
Med.,SPIP 4.2.3 SQL Injection,https://cxsecurity.com/issue/WLB-2023060075,"CWE, nu11secur1ty",Remote,,,,,
Low,Zip And RAR FileExtractor 5.7 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060074,"CWE, tmrswrr",Remote,,,,,
Low,FAQ Script 2.3 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060073,"CWE, CraCkEr",Remote,,,,,
Med.,WordPress Ultimate Member 2.6.6 Privilege Escalation,https://cxsecurity.com/issue/WLB-2023060072,"CVE, CWE, Marc-Alexandre Montpas",Local,,,,,
Low,GZ Appointment Scheduling 1.8 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060071,"CWE, CraCkEr",Remote,,,,,
Low,Property Listing Script 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060070,"CWE, CraCkEr",Remote,,,,,
Low,Office Suite Premium 10.9.1.42602 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060069,"CWE, tmrswrr",Remote,,,,,
Low,MyBB Favicon 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060068,"CWE, 0xB9",Remote,,,,,
Low,News Script Pro 2.4 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060067,"CWE, CraCkEr",Remote,,,,,
Low,Event Script 2.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060066,"CWE, CraCkEr",Remote,,,,,
Low,GuestBook Script 2.2 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060065,"CWE, CraCkEr",Remote,,,,,
Med.,MCL-Net 4.3.5.8788 Information Disclosure,https://cxsecurity.com/issue/WLB-2023060064,"CVE, Victor A. Morales, GM ...",Remote,,,,,
Med.,Pydio Cells 4.1.2 Unauthorised Role Assignments,https://cxsecurity.com/issue/WLB-2023060063,"CVE, Anon",Remote,,,,,
Med.,ToprakAJans Admin NoRedirect Bypass,https://cxsecurity.com/issue/WLB-2023060062,BQX,Remote,,,,,
Med.,Balikesir University SQL Injection Vulnerablity,https://cxsecurity.com/issue/WLB-2023060061,Xale,Remote,,,,,
Med.,MOVEit SQL Injection,https://cxsecurity.com/issue/WLB-2023060060,"CVE, CWE, bwatters-r7",Remote,,,,,
Low,PHPJabbers STIVA Blog Script 4.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060059,"CWE, CraCkEr",Remote,,,,,
Low,PHPJabbers Knowledge Base Builder 3.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060058,"CWE, CraCkEr",Remote,,,,,
Low,Xenforo Version 2.2.13>x - Authenticated Stored XSS,https://cxsecurity.com/issue/WLB-2023060057,"CWE, Furkan Karaarslan",Remote,,,,,
Med.,HiSecOS 04.0.01 Privilege Escalation,https://cxsecurity.com/issue/WLB-2023060056,"CWE, dreizehnutters",Local,,,,,
High,Nokia ASIKA 7.13.52 Private Key Disclosure,https://cxsecurity.com/issue/WLB-2023060055,"CVE, Amirhossein Bahramizad...",Remote,Amirhossein Bahramizadeh,No,Yes,CVE-2023-25187,N/A
Medium,OX App Suite SSRF / Resource Consumption / Command Injection,https://cxsecurity.com/issue/WLB-2023060054,"CVE, CWE, Mehmet Ince",Remote,Mehmet Ince,No,Yes,CVE-2023-26427 | CVE-2023-26428 | CVE-2023-26429 | CVE-2023-26431 | CVE-2023-26432 | CVE-2023-26433 | CVE-2023-26434 | CVE-2023-26435 | CVE-2023-26436,"CWE-922
Low,WordPress WP Sticky Social 1.0.1 CSRF / Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060053,"CVE, CWE, Amirhossein Bahramizad...",Remote,Amirhossein Bahramizadeh,No,Yes,CVE-2023-3320,"CWE-79
Low,Talroo Jobs Script 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060052,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Medium,SCRMS 2023-05-27 1.0 Multiple SQL Injection,https://cxsecurity.com/issue/WLB-2023060051,"CWE, nu11secur1ty",Remote,nu11secur1ty,No,Yes,N/A,CWE-89
Medium,ACJWEB DESIGNER 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2023060050,"CWE, indoushka",Remote,indoushka,No,Yes,N/A,CWE-89
Medium,Smart Office Web 20.28 Remote Information Disclosure (Unauthenticated),https://cxsecurity.com/issue/WLB-2023060049,"CVE, Tejas Nitin Pingulkar",Remote,Tejas Nitin Pingulkar,No,Yes,CVE-2022-47076,N/A
Medium,MotoCMS 3.4.3 SQL Injection,https://cxsecurity.com/issue/WLB-2023060048,tmrswrr,Remote,,No,Yes,N/A,N/A
Low,Diafan CMS 6.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060047,"CWE, tmrswrr",Remote,tmrswrr,No,Yes,N/A,CWE-79
Medium,OpenBSD Kernel Relinking Issue,https://cxsecurity.com/issue/WLB-2023060046,C.W. Schech,Remote,C.W. Schech,No,Yes,N/A,N/A
Medium,SystemK NVR 504/508/516 Command Injection,https://cxsecurity.com/issue/WLB-2023060045,"CWE, Keniver Wang",Remote,Keniver Wang,No,Yes,N/A,CWE-78
Low,WG Ticket 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060044,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Low,RentEquip Multipurpose Rental 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060043,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,Polycom BToE Connector 4.4.0.0 Buffer Overflow / Man-In-The-Middle,https://cxsecurity.com/issue/WLB-2023060042,"CWE, secbugs3",Remote,secbugs3,No,Yes,N/A,CWE-119
Medium,WordPress Theme Medic v1.0.0 Weak Password Recovery Mechanism for Forgotten Password,https://cxsecurity.com/issue/WLB-2023060041,"CVE, Amirhossein Bahramizad...",Remote,Amirhossein Bahramizadeh,No,Yes,CVE-2020-11027,CWE-640
Low,Blog LITE 2.1 - Stored XSS,https://cxsecurity.com/issue/WLB-2023060040,"CWE, CraCkEr",Remote,,No,Yes,N/A,CWE-79
High,TP-Link Archer AX10(EU)_V1.2_230220 Buffer Overflow,https://cxsecurity.com/issue/WLB-2023060039,"CVE, CWE, Giuseppe Compare",Remote,Giuseppe Compare,No,Yes,CVE-2023-34832,CWE-119
Low,BlogMagz 1.0 - Stored XSS,https://cxsecurity.com/issue/WLB-2023060038,"CWE, CraCkEr",Remote,,No,Yes,N/A,CWE-79
Low,Cross-Platform Malicious Javascript DoS attack,https://cxsecurity.com/issue/WLB-2023060037,Anezatra,Remote,,Yes,Yes,N/A,N/A
High,Total CMS 1.7.4 Shell Upload,https://cxsecurity.com/issue/WLB-2023060036,tmrswrr,Remote,,No,Yes,N/A,N/A
Low,QuickJob Portal 6.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060035,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,WordPress Abandoned Cart Lite For WooCommerce 5.14.2 Authentication Bypass,https://cxsecurity.com/issue/WLB-2023060034,"CVE, ayantaker",Remote,ayantaker,No,Yes,CVE-2023-2986,CWE-288
Medium,Buffer Overflow in TP-Link Archer AX10(EU)_V1.2_230220,https://cxsecurity.com/issue/WLB-2023060033,"CVE, Giuseppe Compare - Jha...",Remote,,No,Yes,CVE-2023-34832,N/A
High,Oracle Weblogic PreAuth Remote Command Execution,https://cxsecurity.com/issue/WLB-2023060032,"CVE, CWE, Grant Willcox",Remote,Grant Willcox,No,Yes,CVE-2023-21931 | CVE-2023-21839,CWE-78
Low,Windows PowerShell PS1 Trojan File RCE,https://cxsecurity.com/issue/WLB-2023060031,hyp3rlinx,Remote,,No,Yes,N/A,N/A
Low,Camelon CMS 2.7.4 Stored XSS in Post Title,https://cxsecurity.com/issue/WLB-2023060030,Yasin Gergin,Remote,Yasin Gergin,No,Yes,N/A,N/A
High,Instagram App 287.0.0.22.85 - Local Stack Buffer Overflow (DOS),https://cxsecurity.com/issue/WLB-2023060029,Aryan Chehreghani,Local,Aryan Chehreghani,Yes,No,N/A,N/A
Low,projectSend r1605 Stored XSS,https://cxsecurity.com/issue/WLB-2023060028,"CWE, Mirabbas Ağalarov",Remote,Mirabbas Ağalarov,No,Yes,N/A,CWE-79
Low,Xoops CMS 2.5.10 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060027,"CWE, tmrswrr",Remote,tmrswrr,No,Yes,N/A,CWE-79
High,Teachers Record Management System 1.0 File Upload Type Validation,https://cxsecurity.com/issue/WLB-2023060026,"CVE, CWE, Affan",Remote,Affan,No,Yes,CVE-2023-3187,CWE-264
Low,Expert X Jobs Portal And Resume Builder 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060025,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Low,BB Machine Forum 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060024,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,Windows PowerShell PS1 Trojan File RCE,https://cxsecurity.com/issue/WLB-2023060023,hyp3rlinx,Remote,,No,Yes,N/A,N/A
Low,Microsoft HVCIScan DLL Hijacking,https://cxsecurity.com/issue/WLB-2023060022,Stefan Kanthak,Local,Stefan Kanthak,Yes,No,N/A,N/A
High,TerraMaster TOS 4.2.15 Remote Code Execution,https://cxsecurity.com/issue/WLB-2023060021,"CVE, n0tme",Remote,n0tme,No,Yes,CVE-2021-45839 | CVE-2021-45841 | CVE-2021-45837 | CVE-2021-458439,N/A
High,Anevia Flamingo XS 3.6.5 Authenticated Root Remote Code Execution,https://cxsecurity.com/issue/WLB-2023060020,LiquidWorm,Remote,LiquidWorm,No,Yes,N/A,N/A
High,Anevia Flamingo XL/XS 3.6.x Default / Hardcoded Credentials,https://cxsecurity.com/issue/WLB-2023060019,LiquidWorm,Remote,LiquidWorm,No,Yes,N/A,N/A
Low,LearnDesk 1.0 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060018,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
High,WordPress Workreap 2.2.2 Shell Upload,https://cxsecurity.com/issue/WLB-2023060017,"CVE, CWE, Mohammad Hossein Khana...",Remote,Mohammad Hossein Khanaki,No,Yes,CVE-2021-24499,CWE-264
Medium,Sales Tracker Management System v1.0 Multiple Vulnerabilities,https://cxsecurity.com/issue/WLB-2023060016,"CVE, AFFAN",Remote,AFFAN,No,Yes,CVE-2023-3184,CWE-79
Medium,Thruk Monitoring Web Interface 3.06 Path Traversal,https://cxsecurity.com/issue/WLB-2023060015,"CVE, CWE, Galoget Latorre",Remote,Galoget Latorre,No,Yes,CVE-2023-34096,CWE-22
Medium,Zyxel IKE Packet Decoder Unauthenticated Remote Code Execution,https://cxsecurity.com/issue/WLB-2023060014,sf,Remote,sf,No,Yes,N/A,N/A
Medium,EasyAnswer 1.0.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2023060013,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-79
Medium,WordPress Theme Workreap 2.2.2 Unauthenticated Upload Leading to Remote Code Execution,https://cxsecurity.com/issue/WLB-2023060012,"CVE, CWE, Mohammad Hossein Khana...",Remote,Mohammad Hossein Khanaki,No,Yes,CVE-2021-24499,CWE-264
Low,Prestashop 8.0.4 CSV injection,https://cxsecurity.com/issue/WLB-2023060011,Mirabbas Ağalarov,Remote,Mirabbas Ağalarov,No,Yes,N/A,N/A
Medium,Expert Job Portal Management System 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2023060010,"CWE, CraCkEr",Remote,CraCkEr,No,Yes,N/A,CWE-89
