Title,Description,Date Added,CVE Link,Exploit Platform,Exploit Type,Product Name
Cisco AnyConnect Posture Security Service TOCTOU Local Privilege Escalation Exploit,The Security Service of Cisco AnyConnect Posture (HostScan) for Windows incorrectly restricts access to internal IPC commands. This could enable low-privileged users to achieve NT AUTHORITY\SYSTEM privileges by sending crafted IPC commands.This module bypasses CVE-2021-1366 by abusing a Time-of-check Time-of-use (TOCTOU) Race Condition in the priv_file_copy command.,"June 16, 2021",CVE-2021-1567,Windows,Exploits / Local,Impact
Microsoft Windows Graphics Component Elevation of Privilege Vulnerability Exploit,"An elevation of privilege vulnerability exists in Windows when the DirectComposition component fails to properly handle objects in memory. An attacker who successfully exploited this vulnerability could run arbitrary code in kernel mode. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.","June 11, 2021",CVE-2021-26868,Windows,Exploits / Local,Impact
Ambarella Oryx RTSP Server Denial of service,"A buffer overflow in the RTSP service of the Ambarella Oryx RTSP Server 2020-01-07 allows an unauthenticated attacker to send a crafted RTSP request, with a long digest authentication header, to execute arbitrary code in parse_authentication_header() in libamprotocol-rtsp.so.1 in rtsp_svc (or cause a crash).","June 7, 2021",,Windows,Denial of Service / Remote,IOT
Windows_IIS_Server_DOS,Windows IIS Server Denial of Service,"June 7, 2021",,,Exploits / Denial of Service,SCADAPRO
Pult Online v270 Information leak,Pult Online suffers from system information leak.             The attacker can view the names of system files.             By changing the directory for making a backup in the server configuration menu.             So the files located in the previously selected folder will be displayed on the administrator system page.             Tested on Pult Online v270,"June 7, 2021",,,Exploits / Remote File Disclosure,SCADAPRO
WiSCADA 2.0 0-Day Remote Arbitrary File Overwrite,This module will receive HTTP requests from vulnerable clients and install agents on them.,"June 7, 2021",,,Exploits / Client Side,SCADAPRO
openERM_SQLi,"SQL Injection in add_edit_event_user.php is caused by unsanitized user input from the eid, userid, and pid parameters.Exploiting this vulnerability requires authentication to Patient PortalTested on OpenEMR 5.0.1 (Path 3) - SQL Injection","June 7, 2021",,,Exploits / SQL Injection,MEDICAL
Zivif Web Cameras Remote Command (reboot) Execution Exploit,Exploits the vulnerability published in the CVE-2017-17105 advisory.,"June 7, 2021",CVE-2017-17105,,Exploits / Remote,IOT
Yawcam Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in Yawcam,"June 7, 2021",,Windows,Exploits / Remote,IOT
Chamilo LMS 1.11.14 - Remote Code Execution,ChamiloLMS_RCE,"June 7, 2021",,,Exploits / Remote Code Execution,SCADAPRO
Citect SCADA (Facilities) ciTextBox.ocx Remote File Create Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"June 3, 2021",,,Exploits / Client Side,SCADA
OpenPLC 3 - Remote Code Execution,openPLC_RCE,"June 3, 2021",,,Exploits / Remote Code Execution,SCADA
ICPDAS eLogger software 2.0.0.0 Denial of Service,"Remote Denial Of Service in ICPDAS eLogger. Specially crafted packets may also be sent to ICPDAS eLogger port 502 (default), result in a denial-of-service. Exploit crash server process RuntimeXP.exe","June 3, 2021",,,Denial of Service / Remote,SCADA
MicroFocus OBM UCMDB Services Java Deserialization Vulnerability Remote Code Execution Exploit,Hard-coded credentials for the diagnostics user can be used to authenticate in the UCMDB component.Then a java deserialization vulnerability present in several endpoints of the UCMDB service can be used to execute OS commands.,"May 26, 2021",CVE-2020-11853,"Windows, Linux",Exploits / Authentication Weakness / Known Vulnerabilities,Impact
Pulse Connect Secure Custom Template Injection Remote Code Execution Exploit,A vulnerability in the admin web interface could allow an authenticated attacker to upload custom template to perform an arbitrary code execution.,"May 19, 2021",CVE-2020-8243,Linux,Exploits / Remote Code Execution,Impact
Fernhill SCADA Server Denial of Service,"Remote Denial Of Service in Fernhill SCADA Windows Developer. Specially crafted packets may also be sent to Fernhill SCADA Server port 20295 (default), result in a denial-of-service. Exploit crash server process FHSvrService.exe","May 12, 2021",,,Denial of Service / Remote,SCADAPRO
Merz MScada Server Denial of Service,"Remote Denial Of Service in Merz MScada Server. Specially crafted packets may also be sent to AspicKnot.exe port 8080 (default), result in a denial-of-service. Exploit crash server process AspicKnot.exe","May 12, 2021",,,Denial of Service / Remote,SCADAPRO
Apache Unomi Remote Code Execution Exploit,Apache Unomi allows conditions to use OGNL and MVEL scripting which offers the possibility to call static Java classes from the JDK that could execute code with the permission level of the running Java process.,"May 12, 2021",CVE-2020-13942,Linux,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Sudo Setcmnd Heap Buffer Overflow Local Privilege Escalation Exploit Update,An improvement in the heap feng shui in order to add more stability and support for more versions.,"May 12, 2021",CVE-2021-3156,Linux,Exploits / Local,Impact
ICONICS AlarmWorX32 Report ActiveX Remote Arbitrary empty File Create,This module will receive HTTP requests from vulnerable clients and install agents on them.,"May 9, 2021",,,Exploits / Client Side,SCADA
Mitsubishi Electric MELSOFT Mediative Server Denial Of Service,Remote Denial Of Service in MELSOFT Mediative Server,"May 9, 2021",,Windows,Denial of Service / Remote,SCADA
TP-Link TL-WA855RE Device Reset Auth Bypass vulnerability,TP-Link TL-WA855RE V5_200415 Device Reset Auth Bypass vulnerability,"May 9, 2021",CVE-2020-24363,,Exploits / Client Side,IOT
Cisco Small Business SA500 Series - Local File Inclusion,Cisco Small Business SA500 Series - Local File Inclusion,"May 9, 2021",,Windows,Exploits / Remote,IOT
SysGauge Server Denial of Service,SysGauge Server 3.6.18 the Control Protocl suffers from a denial of service. The attack vector is a crafted SERVER_GET_INFO packet sent to control port 9221.,"May 9, 2021",,Windows,Denial of Service / Remote,IOT
WebHMI_DOS,"WebHMI 4.0.7348 suffers from Denial of Service.             An attacker with administrator rights can run a disk speed test.             While the test is in progress, the server is sleep and unavailable.             One test puts the server to sleep for about 45 seconds.             An attacker can send several requests at once, thereby putting the server to sleep for a long time.","May 9, 2021",,,Exploits / Denial of Service,SCADA
Mitsubishi MC Works64 SCADA Remote Arbitrary empty File Create,This module will receive HTTP requests from vulnerable clients and install agents on them.,"May 9, 2021",,,Exploits / Client Side,SCADA
AndroVideo Advan VD-1 Remote Password Disclosure,AndroVideo Advan VD-1 Remote Password Disclosure,"May 9, 2021",CVE-2019-11064,,Exploits / Client Side,IOT
Windows Win32k xxxClientAllocWindowClassExtraBytes Privilege Escalation Exploit Update,This vulnerability is caused by xxxClientAllocWindowClassExtraBytes callback in win32kfull!xxxCreateWindowEx. The callback causes the setting of a kernel struct member and its corresponding flag to be out of sync.This Update adds support for Windows 10 2004 and 20H2,"May 7, 2021",CVE-2021-1732,Windows,Exploits / Local,Impact
VMware vCenter Server uploadova TAR Directory Traversal Remote Code Execution Exploit,Unauthenticated file upload vulnerability via uploadova plugin in VMware vCenter Server to upload and extract a TAR file.The TAR file contains a path traversal that allows writing files at arbitraries locations.,"May 3, 2021",CVE-2021-21972,"Windows, Linux",Exploits / Remote,Impact
Microsoft Windows Print Spooler Service Arbitrary File Write Elevation of Privilege Vulnerability Exploit,"An elevation of privilege vulnerability exists when the Windows Print Spooler service improperly allows arbitrary writing to the file system. An attacker who successfully exploited this vulnerability could run arbitrary code with elevated system privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.","April 27, 2021",CVE-2020-1337,Windows,Exploits / Local,Impact
Windows Win32k xxxClientAllocWindowClassExtraBytes Privilege Escalation Exploit,This vulnerability is caused by xxxClientAllocWindowClassExtraBytes callback in win32kfull!xxxCreateWindowEx. The callback causes the setting of a kernel struct member and its corresponding flag to be out of sync.,"April 19, 2021",CVE-2021-1732,Windows,Exploits / Local,Impact
Sudo Setcmnd Heap Buffer Overflow Local Privilege Escalation Exploit,"Sudo before 1.9.5p2 has a Heap-based Buffer Overflow, allowing privilege escalation to root via ""sudoedit -s"" and a command-line argument that ends with a single backslash character.","April 15, 2021",CVE-2021-3156,Linux,Exploits / Local,Impact
SmartPTT Arbitrary File Upload,SmartPTT Arbitrary File Upload,"April 6, 2021",,,Exploits / Remote,SCADAPRO
WebHMI_XSS,WebHMI 4.0.7348 suffers from persistent cross site scripting vulnerability. 			It is located on the page for creating a new connection. 			An attacker with administrator rights can create a new connection and specify an xss injection in the name field. 			XSS injection will be triggered on the 'host/setup/registers/list.php' page,"April 6, 2021",,,Exploits / Cross Site Scripting,SCADA
D-Link ADSL ROUTER DSL-2730U Password Disclosure,D-Link ADSL ROUTER DSL-2730U Password Disclosure,"April 6, 2021",,,Exploits / Client Side,IOT
Beckhoff TwinCAT 3x EventConfigurator Remote Code Execution Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"April 6, 2021",,,Exploits / Client Side,SCADAPRO
Digitus DN-16048 Camera Remote Configuration Disclosure,Digitus DN-16048 Camera Remote Configuration Disclosure,"April 6, 2021",,,Exploits / Client Side,IOT
Comba AC2400 Wi-Fi Access Controller Password Disclosure,"Comba AC2400 devices are prone to password disclosure via a simple crafted /09/business/upgrade/upcfgAction.php?download=true request to the web management server. The request doesnt require any authentication and will lead to saving the DBconfig.cfg file. At the end of the file, the login information is stored in cleartext.","April 6, 2021",CVE-2019-15654,,Exploits / Client Side,IOT
ZTE C520V21 smart camera Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in ZTE C520V21 smart IP camera,"April 6, 2021",CVE-2019-3423,Windows,Exploits / Remote,IOT
Microsoft Windows DNS Server SIGRed Remote Code Execution Exploit,A remote code execution vulnerability exists in Windows Domain Name System servers when they fail to properly handle requests. An attacker who successfully exploited the vulnerability could run arbitrary code in the context of the Local System Account. Windows servers that are configured as DNS servers are at risk from this vulnerability.,"April 6, 2021",CVE-2020-1350,Windows,Exploits / Remote,Impact
Y-Cam IP Cameras Denial of service,Denial of service Y-Cam IP Cameras Exploit,"April 6, 2021",,Windows,Denial of Service / Remote,IOT
ADwin software package CD 6.00.28.03 Remote File Create Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"April 6, 2021",,,Exploits / Client Side,SCADA
Beckhoff TwinCAT 3x EventConfigurator Remote Code Execution Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"April 6, 2021",,,Exploits / Client Side,SCADAPRO
D-Link ADSL ROUTER DSL-2730U Password Disclosure,D-Link ADSL ROUTER DSL-2730U Password Disclosure,"April 6, 2021",,,Exploits / Client Side,IOT
WebHMI_XSS,WebHMI 4.0.7348 suffers from persistent cross site scripting vulnerability. 			It is located on the page for creating a new connection. 			An attacker with administrator rights can create a new connection and specify an xss injection in the name field. 			XSS injection will be triggered on the 'host/setup/registers/list.php' page,"April 6, 2021",,,Exploits / Cross Site Scripting,SCADA
Dell KACE Systems Management Appliance (K1000) Unauthenticated RCE,"The KACE Systems Management Appliance (SMA) helps you accomplish these goals by automating complex administrative tasks and modernizing your unified endpoint management approach. This makes it possible for you to inventory all hardware and software, patch mission-critical applications and OS, reduce the risk of breach, and assure software license compliance. So youre able to reduce systems management complexity and safeguard your vulnerable endpoints.","April 6, 2021",,,Exploits / Remote,IOT
Comba AC2400 Wi-Fi Access Controller Password Disclosure,"Comba AC2400 devices are prone to password disclosure via a simple crafted /09/business/upgrade/upcfgAction.php?download=true request to the web management server. The request doesnt require any authentication and will lead to saving the DBconfig.cfg file. At the end of the file, the login information is stored in cleartext.","April 6, 2021",CVE-2019-15654,,Exploits / Client Side,IOT
F5 BIG-IP iControl REST API Remote Code Execution Exploit,"This vulnerability allows for unauthenticated attackers with network access to the iControl REST interface, through the BIG-IP management interface and self IP addresses, to execute arbitrary system commands, create or delete files, and disable services. This vulnerability can only be exploited through the control plane and cannot be exploited through the data plane. Exploitation can lead to complete system compromise. The BIG-IP system in Appliance mode is also vulnerable","March 30, 2021",CVE-2021-22986,Linux,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Microsoft Exchange Proxylogon Remote Code Execution Vulnerability Exploit,"A combination of a server-side request forgery vulnerability and an arbitrary file write vulnerability, allows unauthenticated attackers to execute commands with SYSTEM privileges in Microsoft Exchange Server.","March 26, 2021",CVE-2021-26855,Windows,Exploits / Remote Code Execution,Impact
Microsoft Windows splwow64 Untrusted Pointer Dereference Privilege Escalation Exploit Update,The specific flaw exists within the user-mode printer driver host process splwow64.exe. The issue results from the lack of proper validation of a user-supplied value prior to dereferencing it as a pointer. An attacker can leverage this vulnerability to escalate privileges from low integrity and execute code in the context of the current user at medium integrity.This update improves the reliability and adds support for more patch levels.,"March 19, 2021",CVE-2020-0986,Windows,Exploits / Local,Impact
MedDream_Server_PACS_SQLI,"MedDream PACS Server 7.1.1 suffers from Multiple SQL Injection vulnerability.First unauthenticated injection available on the registration page in parameter 'email', types such as time-based blind and error-based,but mysql user rights are very limited, attacker can only access the database - information_schema and read columns name in PACS database.Second injection available for authenticated users on the search page - 'searchExport.php' in parameter 'uid', in this place attacker","March 8, 2021",,,Exploits / SQL Injection,MEDICAL
VIVOTEK Network Cameras IB8369/FD8164/FD816BA Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in VIVOTEK Network Cameras IB8369/FD8164/FD816BA,"March 8, 2021",,Windows,Exploits / Remote,IOT
Advantech ActiveDAQ Pro AdvButton.dll Remote Code Execution Vulnerability Exploit,This module will receive HTTP requests from vulnerable clients and install agents on them.,"March 8, 2021",,,Exploits / Client Side,SCADAPRO
Point of View SCADA/HMI software Remote Code Execution Vulnerability,This module will listen for HTTP requests from vulnerable clients and queue client side exploits as HTTP responses in an attempt to install an OS agent on the client.,"March 8, 2021",,,Exploits / Client Side,SCADAPRO
Dongyoung Media DM-AP240T/W Wireless Access Point Remote Configuration Disclosure,Dongyoung Media DM-AP240T/W Wireless Access Point Remote Configuration Disclosure,"March 8, 2021",,,Exploits / Client Side,IOT
Yaskawa SigmaWinPlus 7 Remote Arbitrary File Overwrite,This module will receive HTTP requests from vulnerable clients and install agents on them.,"March 8, 2021",,,Exploits / Client Side,SCADAPRO
Vanderbilt IP-Camera CCPW3025-IR and CVMW3025-IR configuration download,Vanderbilt IP-Camera CCPW3025-IR and CVMW3025-IR configuration download,"March 8, 2021",,,Exploits / Client Side,IOT
D-Link DSL-2875AL Remote Password Disclosure,D-Link DSL-2875AL prone to password disclosure via simple crafted request to the web management server.,"March 8, 2021",,,Exploits / Client Side,IOT
CC8800-CMTS Info Disclosure,CC8800-CMTS credential disclosure vulnerability,"March 8, 2021",,,Exploits / Client Side,IOT
Microsoft Windows Print Spooler Elevation of Privilege Vulnerability Exploit,"An elevation of privilege vulnerability exists when the Windows Print Spooler service improperly allows arbitrary writing to the file system. An attacker who successfully exploited this vulnerability could run arbitrary code with elevated system privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.","March 4, 2021",CVE-2020-1048,Windows,Exploits / Local,Impact
FreeBSD Sendmsg Compat32 Local Privilege Escalation Exploit,"In FreeBSD 12.1-STABLE before r363918, 12.1-RELEASE before p8, 11.4-STABLE before r363919, 11.4-RELEASE before p2, and 11.3-RELEASE before p12, the sendmsg system call in the compat32 subsystem on 64-bit platforms has a time-of-check to time-of-use vulnerability allowing a mailcious userspace program to modify control message headers after they were validation.","March 3, 2021",CVE-2020-7460,FreeBSD,Exploits / Local,Impact
Windows Kernel EtwpNotifyGuid Local Privilege Escalation Exploit,An elevation of privilege vulnerability exists in the way that the Windows Kernel handles objects in memory.,"March 2, 2021",CVE-2020-1034,Windows,Exploits / Local,Impact
SolarWinds Orion Collector Service MSMQ Deserialization Remote Code Execution Exploit Update,"The Collector Service in SolarWinds Orion Platform before 2020.2.4 uses MSMQ (Microsoft Message Queue) and doesn't set permissions on its private queues. As a result, remote unauthenticated clients can send messages to TCP port 1801 that the Collector Service will process. Additionally, upon processing of such messages, the service deserializes them in insecure manner, allowing remote arbitrary code execution as LocalSystem.This update adds ""Connect to"" Agent Connection and fixes some issues.","February 24, 2021",CVE-2021-25274,Windows,Exploits / Remote,Impact
Cisco AnyConnect Posture Security Service Local Privilege Escalation Exploit,"Multiple vulnerabilities in the Security Service of Cisco AnyConnect Posture for Windows could allow an authenticated local attacker, to execute arbitrary commands with SYSTEM user privileges.","February 17, 2021",CVE-2021-1366,Windows,Exploits / Local,Impact
SolarWinds Orion Collector Service MSMQ Deserialization Remote Code Execution Exploit,"The Collector Service in SolarWinds Orion Platform before 2020.2.4 uses MSMQ (Microsoft Message Queue) and doesn't set permissions on its private queues. As a result, remote unauthenticated clients can send messages to TCP port 1801 that the Collector Service will process. Additionally, upon processing of such messages, the service deserializes them in insecure manner, allowing remote arbitrary code execution as LocalSystem.","February 10, 2021",CVE-2021-25274,Windows,Exploits / Remote,Impact
SaferVPN Local Privilege Escalation Exploit,SaferVPN for Windows Ver 5.0.3.3 through 5.0.4.15 could allow local privilege escalation from low privileged users to SYSTEM via a crafted openssl configuration file.,"February 10, 2021",CVE-2020-26050,Windows,Exploits / Local,Impact
WordPress File Manager (wp-file-manager) Plugin Remote PHP File Upload Vulnerability Exploit,"A vulnerability in the File Manager (wp-file-manager) plugin for WordPress, version 6.0 to 6.8, allows to unauthenticated remote attackers to upload and execute arbitrary PHP code because.The root cause is an unsafe renaming of a example elFinder connector file with the php extension.Successful exploitation of this vulnerability allows attackers to write php files to the wp-content/plugins/wp-file-manager/lib/files/ directory of Wordpress.","February 4, 2021",CVE-2020-25213,"Windows, Linux",Exploits / Remote File Inclusion / Known Vulnerabilities,Impact
LEADTOOLS Multimedia Toolkit 17.5 Arbitrary File Overwrite Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"January 29, 2021",,,Exploits / Client Side,MEDICAL
TP-Link C2 and C20i Denial of Service,TP-Link C2 and C20i Denial of Service,"January 29, 2021",CVE-2017-8219,Windows,Exploits / Remote,IOT
MediSoft Network Professional Remote Arbitrary File Overwrite,This module will receive HTTP requests from vulnerable clients and install agents on them.,"January 29, 2021",,,Exploits / Client Side,MEDICAL
DicomObjects.COM C++ ActiveX library Remote File Overwrite Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"January 29, 2021",,,Exploits / Client Side,MEDICAL
Cisco Linksys WVC200 Wireless-G PTZ Internet Video Camera ActiveX PlayerPT.ocx Code Execution Vulnerability,This module will listen HTTP requests from vulnerable clients and install an agent on them.,"January 29, 2021",CVE-2010-2974,,Exploits / Client Side,IOT
D-Link ADSL ROUTER DSL-2750E Password Disclosure,D-Link ADSL ROUTER DSL-2750E Password Disclosure,"January 29, 2021",,,Exploits / Client Side,IOT
TVT TD-2308SS-B DVR Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in TVT TD-2308SS-B Web Server,"January 29, 2021",,Windows,Exploits / Remote,IOT
Microsoft Windows DNS Server SIGRed Local Privilege Escalation Exploit Update 2,This update improves the reliability on Windows Server 2008 Enterprise Edition SP2 - x86-64.,"January 28, 2021",CVE-2020-1350,Windows,Exploits / Local,Impact
Oracle Weblogic Server Console JNDI injection JndiBindingHandle Remote Code Execution Exploit,An authenticated JNDI injection vulnerability in Oracle Weblogic Server allows attackers to execute a java class file to gain arbitrary code execution on the affected system.,"January 22, 2021",CVE-2021-2109,"Windows, Linux",Exploits / OS Command Injection / Known Vulnerabilities,Impact
Pulse Secure SSL VPN Arbitrary File Disclosure Exploit,This exploit leverages a vulnerability in Pulse Secure which allows an unauthenticated remote attacker to send a specially crafted URI to perform an arbitrary file reading vulnerability.,"January 14, 2021",CVE-2018-13379,Linux,Exploits / Remote File Disclosure,Impact
Fortinet FortiOS Path Traversal Exploit (CVE-2018-13379),A path traversal vulnerability in the FortiOS SSL VPN web portal may allow an unauthenticated attacker to download FortiOS system files through specially crafted HTTP resource requests.,"January 12, 2021",CVE-2018-13379,Linux,Exploits / Remote File Disclosure,Impact
Schneider Electric ProWORX 32 DXFREADERlib DXFReader.ocx Remote File Create Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"January 11, 2021",,,Exploits / Client Side,SCADAPRO
Tiandy IP Cameras Sensitive Information Disclosure,Tiandy IP Cameras 5.56.17.120 - Sensitive Information Disclosure,"January 11, 2021",CVE-2017-15236,,Exploits / Client Side,IOT
Advantech ActiveDAQ Pro AdvGraph.dll Remote Code Execution Vulnerability Exploit,This module will receive HTTP requests from vulnerable clients and install agents on them.,"January 11, 2021",,,Exploits / Client Side,SCADAPRO
Tellion HN-2204AP Router Remote Configuration Disclosure Exploit,Tellion HN-2204AP Router Remote Configuration Disclosure,"January 11, 2021",,,Exploits / Client Side,IOT
SV3C L-Series HD Camera Remote Configuration Disclosure,SV3C L-Series HD Camera Remote Configuration Disclosure,"January 11, 2021",CVE-2018-12671,,Exploits / Client Side,IOT
TBK DVR4104 and DVR4216 Credentials Leak,TBK DVR4104 and DVR4216 Credentials Leak,"January 11, 2021",CVE-2018-9995,Windows,Exploits / Remote,IOT
D-Link DCS-2103 Network Ip Camera Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in D-Link DCS-2103,"January 11, 2021",,Windows,Exploits / Remote,IOT
Microsoft Windows CloudExperienceHost Elevation of Privilege Vulnerability Exploit,An elevation of privilege vulnerability exists when Microsoft Windows CloudExperienceHost fails to check COM objects.,"January 8, 2021",CVE-2020-1471,Windows,Exploits / Local,Impact
Ghostcat Local File Inclusion Exploit,"When using the Apache JServ Protocol (AJP), care must be taken when trusting incoming connections to Apache Tomcat. Tomcat treats AJP connections as having higher trust than, for example, a similar HTTP connection. If such connections are available to an attacker, they can be exploited in ways that may be surprising. In Apache Tomcat 9.0.0.M1 to 9.0.0.30, 8.5.0 to 8.5.50 and 7.0.0 to 7.0.99, Tomcat shipped with an AJP Connector enabled by default that listened on all configured IP addresses.","December 16, 2020",CVE-2020-1938,Windows,Exploits / Local File Inclusion,Impact
Microsoft Windows WalletService Elevation of Privilege Vulnerability Exploit,An elevation of privilege vulnerability exists in the way that the Windows WalletService handles objects in memory. An attacker who successfully exploited the vulnerability could execute code with elevated permissions.,"December 16, 2020",CVE-2020-1362,Windows,Exploits / Local,Impact
Microsoft Windows splwow64 Untrusted Pointer Dereference Privilege Escalation Exploit,The specific flaw exists within the user-mode printer driver host process splwow64.exe. The issue results from the lack of proper validation of a user-supplied value prior to dereferencing it as a pointer. An attacker can leverage this vulnerability to escalate privileges from low integrity and execute code in the context of the current user at medium integrity.,"December 16, 2020",CVE-2020-0986,Windows,Exploits / Local,Impact
Rievtech Electronic xLogic Software Denial of service,Remote Denial Rievtech Electronic xLogic version 3.3.5.0,"December 3, 2020",,Windows,Denial of Service / Remote,SCADAPRO
Genie Access WIP3BVAF IP Camera Directory Traversal Vulnerability,This module exploits a directory traversal vulnerability in Genie Access WIP3BVAF IP camera,"December 3, 2020",CVE-2019-7315,Windows,Exploits / Remote,IOT
Schneider Electric U.Motion Builder 1.3.4 Unauthenticated Command Injection,"The script track_import_export.php is vulnerable to an unauthenticated command injection vulnerability when user-supplied input to the HTTP GET/POST parameter object_id is processed by the web application. Since the application does not properly validate and sanitize this parameter, it is possible to inject arbitrary commands into a PHP exec call. This is a bypass to the fix implemented for CVE-2018-7765.","December 3, 2020",CVE-2018-7765,,Exploits / Remote,SCADA
Edimax EW-7438RPn Information Disclosure,Edimax EW-7438RPn credential disclosure vulnerability,"December 3, 2020",,,Exploits / Client Side,IOT
ESCAM QD-900 WIFI HD Camera Remote Configuration Disclosure,ESCAM QD-900 WIFI HD Camera Remote Configuration Disclosure,"December 3, 2020",,,Exploits / Client Side,IOT
Geutebruck IP Camera Remote Reboot Vulnerability,Geutebruck IP Camera Remote Reboot Vulnerability,"December 3, 2020",CVE-2018-7520,,Exploits / Client Side,IOT
xArrow v3.2 Web Server Denial of Service,Denial of service xArrow Web Server Exploit,"December 3, 2020",,Windows,Denial of Service / Remote,SCADAPRO
Foscam Cameras Denial of service of the RTSP video feed,Denial of service RTSP in Foscam Cameras Exploit,"December 3, 2020",,Windows,Denial of Service / Remote,IOT
Microsoft Windows Netlogon CVE-2020-1472 Vulnerability Checker update,A new update was created in order to eliminate the necessity of passing a NetBIOS name as parameter instead of an IP address.,"November 13, 2020",CVE-2020-1472,Windows,Information gathering / Vulnerability checkers,Impact
Microsoft Windows Bad Neighbor DoS Exploit,"A remote code execution vulnerability exists when the Windows TCP/IP stack improperly handles ICMPv6 Router Advertisement packets, aka 'Windows TCP/IP Remote Code Execution Vulnerability'.","November 12, 2020",CVE-2020-16898,Windows,Denial of Service / Remote,Impact
Microsoft SharePoint Server WebParts Deserialization TypeConverters Vulnerability Exploit (CVE-2020-0932),A remote code execution vulnerability exists in Microsoft SharePoint when the software fails to check the source markup of an application package. An attacker who successfully exploited the vulnerability could run arbitrary code in the context of the SharePoint application pool and the SharePoint server farm account.Exploitation of this vulnerability requires that a user uploads a specially crafted SharePoint application package to an affected version of SharePoint.,"November 6, 2020",CVE-2020-0932,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
SoftPLC Web Studio Mobile Access Denial of Service,Remote Denial Of Service in SoftPLC Web Studio Mobile Access,"November 5, 2020",,Windows,Denial of Service / Remote,SCADAPRO
Lukefluke Fitness Manager Database Denial of service,Remote Denial Of Service in Firebird,"November 5, 2020",,Windows,Denial of Service / Remote,MEDICAL
Oracle Weblogic Server MBeanUtilsInitSingleFileServlet service Vulnerability Remote Code Execution Exploit Update,"Oracle WebLogic Server is prone to a remote vulnerability that allows unauthenticated attackers to execute system commands.By exploiting known methods, it is possible to remotely instantiate several java classes that allows to execute system commands.This update improves code readability and adds a bypass for CVE-2020-14750.","November 5, 2020",CVE-2020-14882,"Windows, Linux",Exploits / Remote,Impact
GECKO Lite Managed switch Configuration Disclosure,GECKO Lite Managed switch Remote Configuration Disclosure,"November 5, 2020",CVE-2017-5163,,Exploits / Client Side,IOT
Humax Wi-Fi Router HG100R credential disclosure vulnerability,Humax Wi-Fi Router credential disclosure vulnerability,"November 5, 2020",CVE-2017-11435,,Exploits / Client Side,IOT
Grandstream UCM6204 IP PBX Remote Reboot Vulnerability,Grandstream UCM6204 IP PBX Remote Reboot Vulnerability,"November 5, 2020",CVE-2019-10662,,Exploits / Client Side,IOT
Grandstream Audio Conferencing Unit Remote Reboot Vulnerability,The following Grandstream devices are vulnerable to unauthenticated remote code execution by the combination of a command injection vulnerability and an authentication bypass,"November 5, 2020",CVE-2019-10655,,Exploits / Client Side,IOT
Insteon HD WiFI Camera Denial of Service,Remote Denial Of Service in Insteon HD WiFI Camera,"November 5, 2020",,Windows,Denial of Service / Remote,IOT
Oracle Weblogic Server MBeanUtilsInitSingleFileServlet service Vulnerability Remote Code Execution Exploit,"Oracle WebLogic Server is prone to a remote vulnerability that allows unauthenticated attackers to execute system commands.By exploiting known methods, it is possible to remotely instantiate several java classes that allows to execute system commands.","November 3, 2020",CVE-2020-14882,"Windows, Linux",Exploits / Remote,Impact
Microsoft Windows DNS Server SIGRed Local Privilege Escalation Exploit Update,This update adds support for Windows Server 2008 Enterprise Edition SP2 - x86-64.,"October 21, 2020",CVE-2020-1350,Windows,Exploits / Local,Impact
Microsoft SharePoint Server CreateChildControls Server Side Include Vulnerability Exploit (CVE-2020-16952),"A server-side include in Microsoft SharePoint via CreateChildControls in DataFormWebPart class allows an authenticated user to leak the web.config file and forge a malicious ViewState with the extracted validation key.The user credentials requires user with page creation privileges, a standard permission.","October 16, 2020",CVE-2020-16952,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Microsoft SharePoint Server WikiContentWebpart Web Part Remote OS Command Injection Exploit (CVE-2020-1181),"A remote code execution vulnerability exists in Microsoft SharePoint Server when it fails to properly identify and filter unsafe ASP.Net web controls, aka 'Microsoft SharePoint Server Remote Code Execution Vulnerability'.","October 16, 2020",CVE-2020-1181,Windows,Exploits / OS Command Injection / Known Vulnerabilities,Impact
EVGA Precision X1 WinRing Local Privilege Escalation Exploit,The driver in EVGA Precision X1 (aka WinRing0x64.sys) allows any user to read and write to arbitrary memory.,"October 1, 2020",CVE-2020-14979,Windows,Exploits / Local,Impact
